"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Power","Sim.Device","Sim.Pins","Tolerance","Vendor","Vendor Link","Vendor Ref"
"46","1","LS4","Rear Right","Device:Speaker","","~","","","","","","","",""
"47","4","Q1, Q2, Q3, Q4","2N7002","Transistor_FET:2N7002","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=002-0283","002-0283"
"48","1","Q5","BPW96B","Device:Q_Photo_NPN","LED_THT:LED_D5.0mm","https://storage.googleapis.com/mauser-public-files/mauser.pt/catalog/userfiles/bpw96.pdf","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=017-0313","017-0313; 017-0223"
"49","9","R1, R2, R7, R9, R10, R11, R12, R13, R14","10K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://mauser.pt/catalog/product_info.php?cPath=324_526_2659_1549&products_id=104-7556","","0.5W","",""," ±5%","Mauser","https://mauser.pt/catalog/product_info.php?cPath=324_526_2659_1549&products_id=104-7556","104-7556"
"50","4","R3, R4, R5, R6","15K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://storage.googleapis.com/mauser-public-images/prod_description_document/2021/50/a8b4edeb17d5db9a6ee25c100d1c780c_104-7647.pdf","","0.25W","",""," ±5%","Mauser","https://mauser.pt/catalog/product_info.php?cPath=324_526_2659_1549&products_id=104-7646","104-7646"
"51","2","R8, R15","1.5K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://storage.googleapis.com/mauser-public-images/prod_description_document/2021/50/a8b4edeb17d5db9a6ee25c100d1c780c_104-7647.pdf","","0.25W","",""," ±5%","Mauser","https://mauser.pt/catalog/product_info.php?cPath=324_526_2659_1549&products_id=104-7647","104-7647"
"52","1","R16","3.6K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://storage.googleapis.com/mauser-public-images/prod_description_document/2021/50/a8b4edeb17d5db9a6ee25c100d1c780c_104-7647.pdf","","0.25W","",""," ±5%","Mauser","https://mauser.pt/catalog/product_info.php?cPath=324_526_2659_1549&products_id=104-7647","104-7647"
"53","1","R17","11K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://storage.googleapis.com/mauser-public-images/prod_description_document/2021/50/a8b4edeb17d5db9a6ee25c100d1c780c_104-7647.pdf","","0.25W","",""," ±5%","Mauser","https://mauser.pt/catalog/product_info.php?cPath=324_526_2659_1549&products_id=104-7647","104-7647"
"54","9","R18, R19, R20, R21, R22, R23, R24, R27, R28","470R","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","","","","","",""
"55","2","R25, R26","200R","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://mauser.pt/catalog/product_info.php?cPath=324_526_529&products_id=104-7109","","2W","",""," ±5%","Mauser","https://mauser.pt/catalog/product_info.php?cPath=324_526_529&products_id=104-7109","104-7109"
"56","4","SW1, SW2, SW3, SW4","SW_SPDT","Switch:SW_SPDT","","~","","","","","","","",""
"57","1","U1","ATtiny84-20P","MCU_Microchip_ATtiny:ATtiny84-20P","Package_DIP:DIP-14_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/doc8006.pdf","","","","","","PTRobotics","https://www.ptrobotics.com/microcontroladores-atmel/1603-attiny84-avr-14-pin-20mhz-8k.html","PTR001603"
"58","1","U2","LM2576HVT-ADJ","Regulator_Switching:LM2576HVT-ADJ","Package_TO_SOT_THT:TO-220-5_Vertical","http://www.ti.com/lit/ds/symlink/lm2576.pdf","","","","","","Mauser","https://mauser.pt/catalog/product_info.php?products_id=001-2694","001-2694"
